,MSE,Rsq
1,0.0011526839542126566,-0.004609507872215479
5,0.0011543342332247743,-0.030811850418066777
10,0.0011892568076429459,-0.027950862814201782
15,0.0010844109873502088,-0.03212651979471648
20,0.0010955689772445235,-0.009381261537048324
25,0.0011086141473601,0.00039997484907716707
30,0.0012061805412888265,-0.028995871226432213
60,0.0011222250860614682,-0.011214293101018624
90,0.0011247482430157838,-0.005284478037407059
